"UsageDate","ResourceGroupName","CostUSD","Cost","Currency"
"2025-09-17","exp-b-queue-ingestion-to-delta-lake","0.58438926","0.58438926","USD"
"2025-09-17","exp-c-evt-grid-ingestion-to-delta-lake","0.56106414","0.56106414","USD"
"2025-09-17","exp-d-evt-hubs-ingestion-to-delta-lake","0.80204124","0.80204124","USD"
"2025-09-17","ttn-integration-iotcentral","0.50306802","0.50306802","USD"
"2025-09-17","ttn-integration-iothub","0.63017682","0.63017682","USD"
"2025-09-18","evaluation-ttn-storage-integration","0.00271362","0.00271362","USD"
"2025-09-18","exp-a-direct-ingestion-to-delta-lake","0.1656291","0.1656291","USD"
"2025-09-18","exp-b-queue-ingestion-to-delta-lake","0.54095496","0.54095496","USD"
"2025-09-18","exp-c-evt-grid-ingestion-to-delta-lake","0.52600002","0.52600002","USD"
"2025-09-18","exp-d-evt-hubs-ingestion-to-delta-lake","0.98941752","0.98941752","USD"
"2025-09-18","ttn-integration-iotcentral","0.42715218","0.42715218","USD"
"2025-09-18","ttn-integration-iothub","0.53152008","0.53152008","USD"
"2025-09-19","evaluation-ttn-storage-integration","0.00307398","0.00307398","USD"
"2025-09-19","exp-a-direct-ingestion-to-delta-lake","0.11938836","0.11938836","USD"
"2025-09-19","exp-b-queue-ingestion-to-delta-lake","0.50519196","0.50519196","USD"
"2025-09-19","exp-c-evt-grid-ingestion-to-delta-lake","0.49149282","0.49149282","USD"
"2025-09-19","exp-d-evt-hubs-ingestion-to-delta-lake","0.62278944","0.62278944","USD"
"2025-09-19","ttn-integration-iotcentral","0.37872198","0.37872198","USD"
"2025-09-19","ttn-integration-iothub","0.47209344","0.47209344","USD"
"2025-09-20","evaluation-ttn-storage-integration","0.0029757","0.0029757","USD"
"2025-09-20","exp-a-direct-ingestion-to-delta-lake","0.10014732","0.10014732","USD"
"2025-09-20","exp-b-queue-ingestion-to-delta-lake","0.50158836","0.50158836","USD"
"2025-09-20","exp-c-evt-grid-ingestion-to-delta-lake","0.52799838","0.52799838","USD"
"2025-09-20","exp-d-evt-hubs-ingestion-to-delta-lake","0.60154458","0.60154458","USD"
"2025-09-20","ttn-integration-iotcentral","0.3832101","0.3832101","USD"
"2025-09-20","ttn-integration-iothub","0.48458592","0.48458592","USD"
"2025-09-21","evaluation-ttn-storage-integration","0.00312312","0.00312312","USD"
"2025-09-21","exp-a-direct-ingestion-to-delta-lake","0.1537536","0.1537536","USD"
"2025-09-21","exp-b-queue-ingestion-to-delta-lake","0.5063877","0.5063877","USD"
"2025-09-21","exp-c-evt-grid-ingestion-to-delta-lake","0.560469","0.560469","USD"
"2025-09-21","exp-d-evt-hubs-ingestion-to-delta-lake","0.53026974","0.53026974","USD"
"2025-09-21","ttn-integration-iotcentral","0.38017434","0.38017434","USD"
"2025-09-21","ttn-integration-iothub","0.4776135","0.4776135","USD"
"2025-09-22","evaluation-ttn-storage-integration","0.0036582","0.0036582","USD"
"2025-09-22","exp-a-direct-ingestion-to-delta-lake","0.1189461","0.1189461","USD"
"2025-09-22","exp-b-queue-ingestion-to-delta-lake","0.472017","0.472017","USD"
"2025-09-22","exp-c-evt-grid-ingestion-to-delta-lake","0.52240188","0.52240188","USD"
"2025-09-22","exp-d-evt-hubs-ingestion-to-delta-lake","0.5084625","0.5084625","USD"
"2025-09-22","ttn-integration-iotcentral","0.38453688","0.38453688","USD"
"2025-09-22","ttn-integration-iothub","0.48643686","0.48643686","USD"
"2025-09-23","evaluation-ttn-storage-integration","0.00200928","0.00200928","USD"
"2025-09-23","exp-a-direct-ingestion-to-delta-lake","0.1193829","0.1193829","USD"
"2025-09-23","exp-b-queue-ingestion-to-delta-lake","0.49913136","0.49913136","USD"
"2025-09-23","exp-c-evt-grid-ingestion-to-delta-lake","0.52933062","0.52933062","USD"
"2025-09-23","exp-d-evt-hubs-ingestion-to-delta-lake","0.59051538","0.59051538","USD"
"2025-09-23","ttn-integration-iotcentral","0.39461604","0.39461604","USD"
"2025-09-23","ttn-integration-iothub","0.49666344","0.49666344","USD"
"2025-09-24","evaluation-ttn-storage-integration","0.0039039","0.0039039","USD"
"2025-09-24","exp-a-direct-ingestion-to-delta-lake","0.16606044","0.16606044","USD"
"2025-09-24","exp-b-queue-ingestion-to-delta-lake","0.48797658","0.48797658","USD"
"2025-09-24","exp-c-evt-grid-ingestion-to-delta-lake","0.51827958","0.51827958","USD"
"2025-09-24","exp-d-evt-hubs-ingestion-to-delta-lake","0.58862076","0.58862076","USD"
"2025-09-24","ttn-integration-iotcentral","0.39180414","0.39180414","USD"
"2025-09-24","ttn-integration-iothub","0.50809122","0.50809122","USD"
"2025-09-25","evaluation-ttn-storage-integration","0.00238056","0.00238056","USD"
"2025-09-25","exp-a-direct-ingestion-to-delta-lake","0.17397198","0.17397198","USD"
"2025-09-25","exp-b-queue-ingestion-to-delta-lake","0.52225446","0.52225446","USD"
"2025-09-25","exp-c-evt-grid-ingestion-to-delta-lake","0.56082936","0.56082936","USD"
"2025-09-25","exp-d-evt-hubs-ingestion-to-delta-lake","0.6461091","0.6461091","USD"
"2025-09-25","ttn-integration-iotcentral","0.42620214","0.42620214","USD"
"2025-09-25","ttn-integration-iothub","0.55890744","0.55890744","USD"
"2025-09-26","evaluation-ttn-storage-integration","0.0036036","0.0036036","USD"
"2025-09-26","exp-a-direct-ingestion-to-delta-lake","0.16512678","0.16512678","USD"
"2025-09-26","exp-b-queue-ingestion-to-delta-lake","0.51410268","0.51410268","USD"
"2025-09-26","exp-c-evt-grid-ingestion-to-delta-lake","0.5343156","0.5343156","USD"
"2025-09-26","exp-d-evt-hubs-ingestion-to-delta-lake","0.50993124","0.50993124","USD"
"2025-09-26","ttn-integration-iotcentral","0.48483708","0.48483708","USD"
"2025-09-26","ttn-integration-iothub","0.55945344","0.55945344","USD"
"2025-09-27","evaluation-ttn-storage-integration","0.00273546","0.00273546","USD"
"2025-09-27","exp-a-direct-ingestion-to-delta-lake","0.1699425","0.1699425","USD"
"2025-09-27","exp-b-queue-ingestion-to-delta-lake","0.53267214","0.53267214","USD"
"2025-09-27","exp-c-evt-grid-ingestion-to-delta-lake","0.54672618","0.54672618","USD"
"2025-09-27","exp-d-evt-hubs-ingestion-to-delta-lake","0.60492432","0.60492432","USD"
"2025-09-27","ttn-integration-iotcentral","0.42185598","0.42185598","USD"
"2025-09-27","ttn-integration-iothub","0.52691184","0.52691184","USD"
"2025-09-28","evaluation-ttn-storage-integration","0.00277914","0.00277914","USD"
"2025-09-28","exp-a-direct-ingestion-to-delta-lake","0.18969132","0.18969132","USD"
"2025-09-28","exp-b-queue-ingestion-to-delta-lake","0.53840514","0.53840514","USD"
"2025-09-28","exp-c-evt-grid-ingestion-to-delta-lake","0.56649138","0.56649138","USD"
"2025-09-28","exp-d-evt-hubs-ingestion-to-delta-lake","0.52498992","0.52498992","USD"
"2025-09-28","ttn-integration-iotcentral","0.42372876","0.42372876","USD"
"2025-09-28","ttn-integration-iothub","0.52056186","0.52056186","USD"
